symbol,name,sector,cap_type,tracking_notes
SARDAEN.NS,Sarda Energy & Minerals Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SBICARD.NS,SBI Cards and Payment Services Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SHALBY.NS,Shalby Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SHARDAMOTR.NS,Sharda Motor Industries Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SHRENIK.NS,Shrenik Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SHYAMCENT.NS,Shyam Century Ferrous Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SIGACHI.NS,Sigachi Industries Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SIGMAADV.NS,Sigma Advanced Systems Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SIMBHALS.NS,Simbhaoli Sugars Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SJVN.NS,SJVN Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SOTL.NS,Savita Oil Technologies Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SPARC.NS,Sun Pharma Advanced Research Co Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SUMMITSEC.NS,Summit Securities Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SUZLON.NS,Suzlon Energy Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SYMPHONY.NS,Symphony Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
TARIL.NS,Transformers and Rectifiers (India) Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
TATACONSUM.NS,Tata Consumer Products Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
TATAPOWER.NS,Tata Power Company Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
UNIVPHOTO.NS,Universus Photo Imagings Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
UTKARSHBNK.NS,Utkarsh Small Finance Bank Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
VIJAYA.NS,Vijaya Diagnostic Centre Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
VIRINCHI.NS,Virinchi Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
VMM.NS,Vishal Mega Mart Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
WAAREEENER.NS,Waaree Energies Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
WIPRO.NS,Wipro Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
YESBANK.NS,Yes Bank Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
ZENITHEXPO.NS,Zenith Exports Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
ZFCVINDIA.NS,ZF Commercial Vehl Cntrl Sytm India Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
500325.BO,Reliance Industries Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
544783.BO,E2E Networks Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
SUMEETINDS.NS,Sumeet Industries Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
544467.BO,National Securities Depository Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
512068.BO,Deccan Gold Mines Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
